index,context,question,answer
772,"Ir-raħal tal-Qala huwa l-iżjed wieħed imbiegħed mill-belt kapitali ta' Għawdex, ir-Rabat, u huwa l-eqreb għall-bqija tal-arċipelagu Malti. L-istemma tar-raħal fiha dgħajsa Għawdxija tbaħħar f'baħar imqalleb. Il-knisja parrokkjali tar-raħal hija ddedikata lil San Ġużepp, il-patrun tar-raħal, u nbniet minn Dun Ġużepp Diacono bejn l-1882 u l-1889. L-istil tagħha huwa Barokk bħal ħafna knejjes oħra tal-gżira. Ir-raħal tal-Qala sar parroċċa fit-3 ta' Frar 1872, u sal-1889 il-knisja parrokkjali kienet dik tal-Kunċizzjoni Immakulata tal-Madonna. L-ewwel ġebla tal-parroċċa ta' San Ġużepp tpoġġiet fid-19 ta' Marzu 1882 u l-knisja ġiet ikkonsagrata fit-8 ta' Mejju 1904.",Meta saret parroċċa l-Qala?,fit-3 ta' Frar 1872
773,"Fost is-siti ta' interess storiku fil-Qala u fl-inħawi hemm is-salini, mitħna ppreservata sew u xi fdalijiet preistoriċi. Wieħed jista' jsib eżempji ta' cart ruts, li huma trinek paralleli mħaffrin fil-blat, li jestendu għal iktar minn 180 metru (590 pied) u huma fost l-itwal f'Għawdex.",X' inhuma cart ruts?,trinek paralleli mħaffrin fil-blat
774,"Il-qalb hija organu li tinsab fit-toraċe/sider u hija magħmula esklussivament minn tessut muskolari strijat, li huwa miżmum minn struttura fibruża msejħa perikardju. It-terminu 'kardijaku' (bħal f'kardjoloġija) ifisser ""relatat mal-qalb"" . Il-qalb hija l-organu ċentrali tas-sistema ċirkulatorja u taħdem bħal pompa li kapaċi tipproduċi pressjoni li tippermeti ċ-ċirkolazzjoni tad-demm b'mod effiċjenti.",X' tagħmel il-qalb?,tipproduċi pressjoni li tippermeti ċ-ċirkolazzjoni tad-demm b'mod effiċjenti
775,"Il-qalb hija organu li tinsab fit-toraċe/sider u hija magħmula esklussivament minn tessut muskolari strijat, li huwa miżmum minn struttura fibruża msejħa perikardju. It-terminu 'kardijaku' (bħal f'kardjoloġija) ifisser ""relatat mal-qalb"" . Il-qalb hija l-organu ċentrali tas-sistema ċirkulatorja u taħdem bħal pompa li kapaċi tipproduċi pressjoni li tippermeti ċ-ċirkolazzjoni tad-demm b'mod effiċjenti.",Kardijaku xi tfisser?,relatat mal-qalb
776,"Fl-2008, l-UNESCO espremiet it-tħassib tagħha dwar il-pjanijiet tal-kunsill lokali biex ""jittellgħu tliet turbini tar-riħ għoljin 72 metru lejn il-Majjistral tal-Ħaġriet ta' Stenness u ċ-Ċirku ta' Brogdar"" li jistgħu jirvinaw is-sit. Fl-2019, saret valutazzjoni tar-riskju biex tiġi vvalutata l-vulnerabbiltà tas-sit għat-tibdil fil-klima. Ir-rapport ta' Historic Environment Scotland, tal-Kunsill tal-Gżejjer Orkney u ta' oħrajn jikkonkludi li s-Sit ta' Wirt Dinji kollu, u b'mod partikolari Skara Brae, huwa ""estremament vulnerabbli"" għat-tibdil fil-klima minħabba l-livelli dejjem jgħolew tal-baħar, iż-żieda tax-xita u fatturi oħra. Ir-rapport jenfasizza wkoll ir-riskju li Skara Brae tista' tinqered parzjalment jekk ikun hemm xi maltempata iktar qalila mis-soltu.",Għaliex esprimit tħassib il-UNESCO fuq it-turbini?,jistgħu jirvinaw is-sit
777,"Fl-2008, l-UNESCO espremiet it-tħassib tagħha dwar il-pjanijiet tal-kunsill lokali biex ""jittellgħu tliet turbini tar-riħ għoljin 72 metru lejn il-Majjistral tal-Ħaġriet ta' Stenness u ċ-Ċirku ta' Brogdar"" li jistgħu jirvinaw is-sit. Fl-2019, saret valutazzjoni tar-riskju biex tiġi vvalutata l-vulnerabbiltà tas-sit għat-tibdil fil-klima. Ir-rapport ta' Historic Environment Scotland, tal-Kunsill tal-Gżejjer Orkney u ta' oħrajn jikkonkludi li s-Sit ta' Wirt Dinji kollu, u b'mod partikolari Skara Brae, huwa ""estremament vulnerabbli"" għat-tibdil fil-klima minħabba l-livelli dejjem jgħolew tal-baħar, iż-żieda tax-xita u fatturi oħra. Ir-rapport jenfasizza wkoll ir-riskju li Skara Brae tista' tinqered parzjalment jekk ikun hemm xi maltempata iktar qalila mis-soltu.",Għaliex saret valutazzjoni tar-riskju?,biex tiġi vvalutata l-vulnerabbiltà tas-sit għat-tibdil fil-klima
778,"F’dawn l-aħħar żminijiet, il-Qatar beda jiżdied fil-piż fid-dinja Għarbija. Il-pajjiż qed jestendi l-influwenza globali tiegħu permezz tat-televiżjoni tal-stat tiegħu Al Jazeera.In-nazzjon iżomm relazzjonijiet mill-qrib ħafna ma’ diversi poteri tal-Punent u Asjatiċi, u f’bosta okkażjonijiet aġixxa bħala pont bejn l-istati Musulmani u l-bqija tad-dinja. Il-Qatar għandu popolazzjoni ta’ aktar minn żewġ miljun ruħ, iżda mitejn u ħamsin elf minnhom biss huma ċittadini tal-Qatar. Ħafna mill-abitanti tagħha huma barranin li jaħdmu u jgħixu hemmhekk. Barra minn hekk, huwa wieħed mill-ftit pajjiżi li fih iċ-ċittadini tiegħu ma jħallsu l-ebda taxxa.",Iċ-ċittadini tal-Qatar jħallsu taxxa?,iċ-ċittadini tiegħu ma jħallsu l-ebda taxxa.
779,"Il-Qatar huwa monarkija assoluta li ilha mmexxija mill-familja Al Thani minn nofs is-seklu 19. Qabel is-sejba taż-żejt fit-territorju tiegħu, kien famuż għall-ħsad tal-perli u għall-kummerċ marittimu tiegħu. Kien protettorat Brittaniku sakemm kiseb l-indipendenza fl-1971. Fl-1995 ix-Xejikk Hamad al Thani sar emir wara li ħa post missieru, Khalifa bin Hamad al Thani, f'kolp ta' stat paċifiku. Mill-2013, l-emir tal-Qatar huwa ibnu Tamim bin Hamad Al Thani, li ħa l-kariga wara l-abdikazzjoni ta' missieru.",Għaliex kien magħruf il-Qatar qabel instab iż-żejt?,kien famuż għall-ħsad tal-perli u għall-kummerċ marittimu tiegħu
780,"Insibu diversi qtates differenti fosthom, il-qtates Persjani, bis-suf twil, il-qtates Sijamiżi, b'suf veru qasir u b'vuċi b'saħħitha, u l-qtates Manx, li m'għandhomx denb. Iżda kollha għandhom vista tajba, l-iktar fid-dlam, u dwiefer twal u jaqtgħu. Id-dwiefer tal-qtates għandhom partikularità, dik li ma jkunux dejjem jidhru. Il-qtates infatti kapaċi jiġbdu difrejhom 'l ġewwa fil-laħam permezz ta' muskoli apposta u joħorġuhom biss meta jridu jużawhom.",X' għandhom partikolari d-dwiefer tal-qtates?,ma jkunux dejjem jidhru
781,"Il-Qawwiet tal-Assi, imsejjħa wkoll Alleanza tal-Assi, Nazzjonijiet tal-Assi jew xi kultant biss bħala Assi kienu dawk il-pajjiżi li kienu jopponu l-Alleati matul it-Tieni Gwerra Dinjija. Din kienet koalizzjoni mmexxija mil-Ġermanja, l-Italja, u l-Ġappun. Din l-alleanza bdiet b'sensiela ta' patti bejn il-Ġermanja u l-Italja, flimkien mal-proklamazzjoni ta' 'Assi' li kien jgħaqqad lil Ruma u l-Berlin, fil-25 t'Ottubru 1936, biż-żewġ pajjiżi jiddikjaraw li d-dinja kienet ser tibda ddur fuq dan l-assi Ruma-Berlin.",Meta bdiet l-alleanza bejn il-Ġermanja u l-Italja?,fil-25 t'Ottubru 1936
782,"Dan il-patt ġie segwit mill-Patt Anti-Comintern bejn il-Ġermanja u l-Ġappun kontra l-Unjoni Sovjetika fil-25 ta' Novembru, 1936. Din il-konnessjoni ġiet msaħħa minn alleanza politika u militari sħiħa bejn il-Ġermanja u l-Italja (il-Patt ta' l-Azzat tat-22 ta' Mejju 1939). Il-Patt Tripartit, iffirmat mit-tlett potenzi maġġuri, il-Ġermanja Nażista, l-Italja Faxxista u l-Ġappun Imperjali waqqfu b'mod uffiċjali din l-alleanza militari. Fil-quċċata tal-poter tagħhom, il-potenzi tal-Assi kienu jiggvernaw imperi li ddominaw partijiet kbar mill-Ewropa, Afrika, l-Lvant u x-Xlokk tal-Asja u l-Oċean Paċifiku, imma t-Tieni Gwerra Dinjija spiċċat f'telfa totali. Bħall-Alleati, sħubija fl-Assi kienet fluwida, u xi nazzjonijiet daħlu u ħarġu mill-Assi matul il-kors tal-gwerra.",Min kienu l-partijiet fil-Patt Tripartit?,"il-Ġermanja Nażista, l-Italja Faxxista u l-Ġappun Imperjali"
783,"Il-qerda tal-Innoċenti hu l-isem mogħti lil episodju rrakontat fl-Evangelju skont Mattew fl-istess ħin mal-Ħarba fl-Eġittu : il-qtil tat-trabi kollha ta' taħt sentejn fl-età fl-inħawi ta' Betlehem, ordnat minn Erodi ftit wara t-twelid ta' Ġesù. Il-knejjes iqimuhom bħala martri.",Fejn hi miktuba l-ġrajja?,fl-Evangelju skont Mattew
784,"Il-Qlugħ u bażikament biċċa drapp jew materjal ħafif u artab ieħor li jintrama ma' xi arblu ta' dgħajsa, xini jew għamar ieħor sabiex ir-riħ jaħbat miegħu u jimbotta d-dgħajsa fid-direzzjoni tar-riħ. Qabel l-invenzjoni tal-magni, id-dgħajjes kienu jaħdmu biss jew bl-imqadef jew bil-qlugħ.",Kif kienu jaħdmu d-dgħajjes qabel l-magni?,bl-imqadef jew bil-qlugħ
785,"Ħal Qormi huwa wieħed mill-ibliet importanti ġewwa Malta li minnu ħarġu diversi bliet oħra fosthom il-Belt Valletta, il-belt kapitali ta' Malta. Ħal Qormi hu post bi storja kbira u għani bil-bosta, li għadna ngawduh sal-lum. Din il-belt mibnija bejn żewġ widien kbar, Wied il-Kbir u Wied is-Sewda. Din il-belt tinsab lejn iċ-ċentru tal-gżira Maltija u hija mibnija pjuttost fil-baxx bħalma jixhed il-motto tagħha ""Nogħla mill-baxx"". Ħal Qormi huwa magħruf bħala Ħal Fornaro, titlu li ġej minn żmien il-kavallieri li jixhed kif kienet magħrufa għall-ħobż li kien jinħema ġo bosta fran li wieħed isib f'din il-belt, u sal-llum għadha magħrufa għall-ħobż.",Għal xiex huwa magħruf Ħal Qormi?,għall-ħobż
786,"Quebec hija provinċja tal-Kanada li l-fruntieri tagħha jikkorrispondu mat-territorju tan-nazzjon tal-Quebec. Ħdax-il nazzjon indiġenu jgħixu wkoll fit-territorju tal-Quebec. Il-kapitali tal-Quebec hija Quebec City, u l-metropoli tagħha hija Montreal. Il-lingwa uffiċjali tal-Quebec hija l-Franċiż.",Kemm il-nazzjon jgħix fi Quebec?,Ħdax-il nazzjon indiġenu
787,"Iċ-ċentru storiku ta' Quito huwa fost l-ikbar u l-iktar ippreservati tajjeb fl-Amerki. Fl-1978, Quito u Krakovja kienu l-ewwel Siti ta' Wirt Dinji tal-UNESCO. Quito hija l-iktar belt kapitali qrib l-ekwatur, u l-limiti tat-Tramuntana tal-belt iwasslu sa madwar kilometru (0.62 mili) fin-Nofsinhar tal-linja tal-ekwatur.",Liem hi l-iktar belt qrib l-Ekwatur?,Quito
788,"Matul l-2003 u l-2004 inbnew il-linji tal-Metrobus (Ecovia), li jaqsmu minn naħa għall-oħra tal-belt mit-Tramuntana għan-Nofsinhar. Ħafna toroq prinċipali u sekondarji ġew estiża u mkabbra, inbnew passaġġi differenti, u t-toroq ġew strutturati mill-ġdid ġeometrikament sabiex jittejjeb il-fluss tat-traffiku u bdiet tinbena sistema ta' subway.",Għaliex ġew strutturati mil-ġdid t-toroq?,sabiex jittejjeb il-fluss tat-traffiku
789,"Dan it-torri tal-vitorja huwa simbolu tas-sinteżi tal-arkitettura Iżlamika tradizzjonali mad-disinn tan-Nofsinhar tal-Asja. Elizabeth Lambourn f'Islam Beyond Empires: Mosques and Islamic Landscapes in India and the Indian Ocean tistudja l-introduzzjoni tal-Iżlam fin-Nofsinhar tal-Asja u kif ir-reġjun influwenza l-arkitettura reliġjuża Iżlamika. Dawn il-Musulmani li kienu għadhom kemm waslu mill-Punent Iżlamiku ħarbu mill-Imperu tal-Mongoli u emigraw lejn l-Indja, fejn bnew ċentri reliġjużi. Il-Qutb Minar kien iservi bħala markatur ċentrali għal dawn il-komunitajiet Musulmani l-ġodda kif ukoll bħala tfakkira tal-preżenza tal-Iżlam fl-inħawi. L-arkitettura tal-minaret tvarja ferm mill-istil u mid-disinn tipiċi tal-moskej li nbnew fil-Lvant Nofsani. L-istil ta' dawn l-istrutturi huwa influwenzat ferm mill-arkitettura lokali bħat-tempji lokali tal-Induiżmu. Dan affettwa l-materjali, it-tekniki u t-tiżjin differenti li ntużaw fil-kostruzzjoni tal-Qutb Minar.",Minn ġiex influwenzat l-istil tal-istrutturi?,mill-arkitettura lokali bħat-tempji lokali tal-Induiżmu.
790,"Jista' jiġi mqabbel mal-Minaret ta' Jam fl-Afganistan, magħmul mill-brikks għall-ħabta tal-1190 b'għoli ta' 62 metru, jiġifieri deċennju qabel ma x'aktarx bdiet il-kostruzzjoni tal-minaret f'Delhi. Il-wiċċ taż-żewġ monumenti huwa mżejjen b' mod elaborat b' kitbiet imnaqqxin u b' disinni ġeometriċi. Il-Qutb Minar għandu xaft imrikkeb b'""brakits qishom stalagtiti mill-isbaħ taħt il-gallariji"" fin-naħa ta' fuq ta' kull sular. Inġenerali, damu ma jintużaw fl-Indja u fil-postijiet fejn kienu jeżistu, spiss kienu jkunu distakkati mill-moskea prinċipali.",Kif ġew mżejjna?,b' kitbiet imnaqqxin u b' disinni ġeometriċi
791,"RAEC Mons huwa klabb tal-futbol professjonali Belġjan, ibbażat ġewwa l-belt ta' Mons, huma jilgħabu fl-Ewwel Diviżjoni Belġjana. It-tim ġie promoss għall-ewwel diviżjoni fil-konklużjoni tal-istaġun 2010-11 u b' hekk reġaw ingħaqdu mal-ogħla diviżjoni Belġjana wara sentejn fit-tieni diviżjoni (Kampjonat Exqi). Il-kelliema Olandiżi għandhom tendenza li jirreferu għall-klabb bħala ""Bergen"", l-isem Olandiż għall-Mons.",Kemm damu fit-tieni diviżjoni?,sentejn
792,"Ir-Rabat huwa wieħed mill-aktar lokalitajiet storiċi ta' importanza f'Malta. Fi żmien ir-Rumani, hawn kien jagħmel parti mill-belt kapitali ta' Malta, Melita, li kienet tinkludi l-Imdina. Fi żmien ir-Rumani is-swar tal-belt kienu jaslu sa ħdejn, fejn illum hemm il-knisja tal-parroċċa tar-Rabat, iddedikata lil San Pawl. Fl-istess żmien, barra s-swar tħaffru bosta katakombi. Taħt bosta mit-toroq tar-Rabat hemm mħaffra numru kbir ta' katakombi kif ukoll partijiet mis-swar li xi darba kienu jduru mal-belt kapitali, Melita. Biż-żmien, ir-Rabat spiċċa qiesu s-subborg tal-Imdina, jew aħjar estensjoni 'l barra mill-belt difiża mis-swar. F'dan iż-żmien Ruman, u Ruman Tardiv, bdew jitħaffru bosta katakombi li kollha kien barra s-swar. Fil-fatt, il-katakombi kollha jinsabu lil hinn mill-knisja parrokkjali ta' San Pawl. L-eqreb katakombi huma dawk li jagħmlu parti mill-Grotta ta' San Pawl.",Liem huma l-eqdem katakombi?,dawk li jagħmlu parti mill-Grotta ta' San Pawl.
793,"Ir-Rabat ġie stabbilit fis-seklu 12 mill-Almoħadin. Il-belt għall-ewwel kibret iżda daħlet f'perjodu estiż ta' deklin wara l-waqgħa tal-Almoħadin. Fis-seklu 17, ir-Rabat sar post imkenni għall-pirati tal-Barbarija. Meta l-Franċiżi stabbilew protettorat fil-Marokk fl-1912, huma għamlu r-Rabat bħala ċ-ċentru amministrattiv tiegħu. Meta l-Marokk kiseb l-indipendenza fl-1955 ir-Rabat sar il-belt kapitali tal-pajjiż.",Min għamel il-belt ċentru amministrattiv?,l-Franċiżi
794,"Wara il-waqgħa tal-gvern fl-1903 u tibdil fir-reġim, Domanović ingħata l-kariga ta’ kittieb fil-Ministeru tal-Edukazzjoni, u l-gvern il-ġdid ippermettilu jmur il-Ġermanja għal sena ta’ speċjalizzazzjoni li huwa qatta’ fi Munich. Lura fis-Serbja, Radoje baqa’ diżappuntat min-nuqqas ta’ bidla fis-soċjetà. Stabbilixxa l-gazzetta politika tiegħu stess ta’ kull ġimgħa, “Sofferbja”, li fiha kompla jikkritika id-dgħufija tad-demokrazija l-ġdida, iżda l-kitba tiegħu ma kienx għad għandha l-istess saħħa u ispirazzjoni li kellha qabel.",X' kien jikkritika Domanović permess ta' Sofferbja?,id-dgħufija tad-demokrazija l-ġdida
795,"Rafael Pereira da Silva, magħruf aħjar bħala Rafael jew Rafael da Silva (twieled fid-9 ta' Lulju 1990) huwa plejer tal-futbol li attwalment jilgħab mat-tim ta' Botafogo. Normalment jilgħab bħala difensur lemini, imma kapaċi jilgħab ukoll fuq il-faxxa leminija ta' nofs il-grawnd. Ħuh tewmi Fábio jilgħab ukoll ma' Manchester United.",Fejn jilgħab Rafael normalment?,bħala difensur lemini
796,"Fl-1507 Rafael kiseb kummissjoni biex ipinġi d-Depożizzjoni ta’ Kristu. F’dan ix-xogħol jidher ċar li Raffaello ried jitgħallem minn Mikelanġlu l-possibbiltajiet espressivi tal-anatomija umana. Iżda Raffaello kien differenti minn Leonardo u Mikelanġlu, li t-tnejn kienu pitturi ta' intensità skura u ta' eċitament, fis-sens li xtaq jiżviluppa stil aktar kalm u aktar estrovert li jservi bħala forma ta' komunikazzjoni viżwali għall-poplu, li jista' jifhmu kulħadd.",X' kellu differenti l-istil ta' Rafael minn ta' Leonardo u Mikelanġlu?,"stil aktar kalm u aktar estrovert li jservi bħala forma ta' komunikazzjoni viżwali għall-poplu, li jista' jifhmu kulħadd."
797,"Rakuten Group, Inc. hija kumpanija li topera l-akbar sit tax-xiri onlajn tal-Ġappun b' aktar minn 50 miljun utent reġistrat. Il-fundatur u direttur ġenerali huwa Hiroshi Mikitani. Il-kwartieri ġenerali huwa f'Shinagawa Seaside Rakuten Tower fid-distrett ta' Shinagawa f'Tokjo.",Min hu l-fundatur ta' Rakuten?,Hiroshi Mikitani
798,"Rakuten Group, Inc. hija kumpanija li topera l-akbar sit tax-xiri onlajn tal-Ġappun b' aktar minn 50 miljun utent reġistrat. Il-fundatur u direttur ġenerali huwa Hiroshi Mikitani. Il-kwartieri ġenerali huwa f'Shinagawa Seaside Rakuten Tower fid-distrett ta' Shinagawa f'Tokjo.",Kemm il-utent għandha Rakuten?,aktar minn 50 miljun utent reġistrat
799,"Rakuten Group, Inc. hija kumpanija li topera l-akbar sit tax-xiri onlajn tal-Ġappun b' aktar minn 50 miljun utent reġistrat. Il-fundatur u direttur ġenerali huwa Hiroshi Mikitani. Il-kwartieri ġenerali huwa f'Shinagawa Seaside Rakuten Tower fid-distrett ta' Shinagawa f'Tokjo.",X' tagħmel Rakuten?,topera l-akbar sit tax-xiri onlajn tal-Ġappun
800,"Il-Klassifika dinjija tal-FIFA, magħrufha uffiċjalment bħala The FIFA/Coca-Cola World Ranking għal raġunijiet ta' sponsorizzazzjoni, hija sistema ta' klassifikazzjoni tat-timijiet nazzjonali tal-irġiel tal-futbol. It-timijiet li huma membri tal-FIFA, il-federazzjoni li tħares il-logħba tal-futbol madwar id-dinja, huma pożizzjonati skont ir-riżultati tal-logħob tagħhom, bit-timijiet bl-aktar suċċess ikunu fl-aktar postijiet għoljin. Introdotta f'Diċembru tal-1992, tmien timijiet waslu sal-quċċata (l-Arġentina, il-Belġju, il-Brażil, Franza, il-Ġermanja, l-Italja, in-Netherlands u Spanja), fejn il-Brażil qatta' l-aktar żmien fl-ogħla pożizzjoni.",Għaliex tissejjaħ The FIFA/Coca-Cola World Ranking?,għal raġunijiet ta' sponsorizzazzjoni
801,"RapidShare kien sit ta' skambju ta' faljs Ġermaniż li nfetaħ fl-2002. Sal-2009 kien fost l-aktar 20 sit aċċessat fid-dinja u kien jgħodd mal-10 petabytes ta' fajls imtella' bil-kapaċità li sa tliet miljun utent seta' jaċċessa s-sit fl-istess ħin. Wara t-twaqqif ta' Megaupload fl-2012, servizz simili ta' tlugħ ta' fajls onlajn, RapidShare biddlu l-mudell tagħhom sabiex ma jippermettux id-distribuzzjoni ta' fajls lil numru kbir ta' utenti anonimi u sabiex jiffokaw aktar fuq il-ħażna ta' fajls fil-cloud abbażi ta' abbonamenti. B' riżultat ta' dan il-popularità ta' dan is-servizz bdiet tmajna sakemm f' Marzu tal-2015, RapidShare waqqfet topera.",Meta ġiet mwaqqfa MegaUpload?,fl-2012
802,"RapidShare kien sit ta' skambju ta' faljs Ġermaniż li nfetaħ fl-2002. Sal-2009 kien fost l-aktar 20 sit aċċessat fid-dinja u kien jgħodd mal-10 petabytes ta' fajls imtella' bil-kapaċità li sa tliet miljun utent seta' jaċċessa s-sit fl-istess ħin. Wara t-twaqqif ta' Megaupload fl-2012, servizz simili ta' tlugħ ta' fajls onlajn, RapidShare biddlu l-mudell tagħhom sabiex ma jippermettux id-distribuzzjoni ta' fajls lil numru kbir ta' utenti anonimi u sabiex jiffokaw aktar fuq il-ħażna ta' fajls fil-cloud abbażi ta' abbonamenti. B' riżultat ta' dan il-popularità ta' dan is-servizz bdiet tmajna sakemm f' Marzu tal-2015, RapidShare waqqfet topera.",X' kien RapidShare?,sit ta' skambju ta' faljs Ġermaniż
803,"RapidShare kien sit ta' skambju ta' faljs Ġermaniż li nfetaħ fl-2002. Sal-2009 kien fost l-aktar 20 sit aċċessat fid-dinja u kien jgħodd mal-10 petabytes ta' fajls imtella' bil-kapaċità li sa tliet miljun utent seta' jaċċessa s-sit fl-istess ħin. Wara t-twaqqif ta' Megaupload fl-2012, servizz simili ta' tlugħ ta' fajls onlajn, RapidShare biddlu l-mudell tagħhom sabiex ma jippermettux id-distribuzzjoni ta' fajls lil numru kbir ta' utenti anonimi u sabiex jiffokaw aktar fuq il-ħażna ta' fajls fil-cloud abbażi ta' abbonamenti. B' riżultat ta' dan il-popularità ta' dan is-servizz bdiet tmajna sakemm f' Marzu tal-2015, RapidShare waqqfet topera.",Meta waqqfet topera RapidShare?,f' Marzu tal-2015
804,"RapidShare kien sit ta' skambju ta' faljs Ġermaniż li nfetaħ fl-2002. Sal-2009 kien fost l-aktar 20 sit aċċessat fid-dinja u kien jgħodd mal-10 petabytes ta' fajls imtella' bil-kapaċità li sa tliet miljun utent seta' jaċċessa s-sit fl-istess ħin. Wara t-twaqqif ta' Megaupload fl-2012, servizz simili ta' tlugħ ta' fajls onlajn, RapidShare biddlu l-mudell tagħhom sabiex ma jippermettux id-distribuzzjoni ta' fajls lil numru kbir ta' utenti anonimi u sabiex jiffokaw aktar fuq il-ħażna ta' fajls fil-cloud abbażi ta' abbonamenti. B' riżultat ta' dan il-popularità ta' dan is-servizz bdiet tmajna sakemm f' Marzu tal-2015, RapidShare waqqfet topera.",Għaliex bdiet tmajna l-popularità ta' RapidShare?,RapidShare biddlu l-mudell tagħhom sabiex ma jippermettux id-distribuzzjoni ta' fajls lil numru kbir ta' utenti anonimi u sabiex jiffokaw aktar fuq il-ħażna ta' fajls fil-cloud abbażi ta' abbonamenti
805,"Grigorij Efimovič Rasputin (Novyj) kien patri Russu. Grigorij Rasputin twieled f' belt żgħira fis-Siberja fejn kien jgħix ta' gabillot sakem iddeċieda li jidħol patri. Kiseb fama tant kbira għall-qawwa li jfejjaq il-morda li ġie mistieden bosta drabi fil-qorti taz-Kżar Nikola II, l-aħħar Kżar tar-Russja. F' waħda minn dawn l-okkażżjonijiet ġie ppreżentat lil  Kżarina Aleksandra Fëdorovna Romanova, li baqgħet sedotta għal kollox bil-qawwa li biha Rasputin irnexxielu jsalva l-ħajja tal-eredi għat-tron, binha, Aleksej Nikolaevič Romanov li kien ibati bl-emofilja. Minn dak il-mument 'l hemm il-Kżarina saret taħlef b' Rasputin għal qawwa li kellu biex ifejjaq u b'  hekk il-patri Siberjan tant kiseb poter fil-gvern u fost in-nobbiltà Russa li għamel ħafna għedewwa fost il-prinċpijiet qawwijin bħal Feliks Jusupov, li ordna l-qtil tiegħu.",Kif kien jgħix qabel daħal patri?,ta' gabillot
806,"Grigorij Efimovič Rasputin (Novyj) kien patri Russu. Grigorij Rasputin twieled f' belt żgħira fis-Siberja fejn kien jgħix ta' gabillot sakem iddeċieda li jidħol patri. Kiseb fama tant kbira għall-qawwa li jfejjaq il-morda li ġie mistieden bosta drabi fil-qorti taz-Kżar Nikola II, l-aħħar Kżar tar-Russja. F' waħda minn dawn l-okkażżjonijiet ġie ppreżentat lil  Kżarina Aleksandra Fëdorovna Romanova, li baqgħet sedotta għal kollox bil-qawwa li biha Rasputin irnexxielu jsalva l-ħajja tal-eredi għat-tron, binha, Aleksej Nikolaevič Romanov li kien ibati bl-emofilja. Minn dak il-mument 'l hemm il-Kżarina saret taħlef b' Rasputin għal qawwa li kellu biex ifejjaq u b'  hekk il-patri Siberjan tant kiseb poter fil-gvern u fost in-nobbiltà Russa li għamel ħafna għedewwa fost il-prinċpijiet qawwijin bħal Feliks Jusupov, li ordna l-qtil tiegħu.",Għaliex kiseb il-fama?,għall-qawwa li jfejjaq il-morda
807,"Grigorij Efimovič Rasputin (Novyj) kien patri Russu. Grigorij Rasputin twieled f' belt żgħira fis-Siberja fejn kien jgħix ta' gabillot sakem iddeċieda li jidħol patri. Kiseb fama tant kbira għall-qawwa li jfejjaq il-morda li ġie mistieden bosta drabi fil-qorti taz-Kżar Nikola II, l-aħħar Kżar tar-Russja. F' waħda minn dawn l-okkażżjonijiet ġie ppreżentat lil  Kżarina Aleksandra Fëdorovna Romanova, li baqgħet sedotta għal kollox bil-qawwa li biha Rasputin irnexxielu jsalva l-ħajja tal-eredi għat-tron, binha, Aleksej Nikolaevič Romanov li kien ibati bl-emofilja. Minn dak il-mument 'l hemm il-Kżarina saret taħlef b' Rasputin għal qawwa li kellu biex ifejjaq u b'  hekk il-patri Siberjan tant kiseb poter fil-gvern u fost in-nobbiltà Russa li għamel ħafna għedewwa fost il-prinċpijiet qawwijin bħal Feliks Jusupov, li ordna l-qtil tiegħu.",Min kien l-aħħar Kżar?,Kżar Nikola II
808,"Grigorij Efimovič Rasputin (Novyj) kien patri Russu. Grigorij Rasputin twieled f' belt żgħira fis-Siberja fejn kien jgħix ta' gabillot sakem iddeċieda li jidħol patri. Kiseb fama tant kbira għall-qawwa li jfejjaq il-morda li ġie mistieden bosta drabi fil-qorti taz-Kżar Nikola II, l-aħħar Kżar tar-Russja. F' waħda minn dawn l-okkażżjonijiet ġie ppreżentat lil  Kżarina Aleksandra Fëdorovna Romanova, li baqgħet sedotta għal kollox bil-qawwa li biha Rasputin irnexxielu jsalva l-ħajja tal-eredi għat-tron, binha, Aleksej Nikolaevič Romanov li kien ibati bl-emofilja. Minn dak il-mument 'l hemm il-Kżarina saret taħlef b' Rasputin għal qawwa li kellu biex ifejjaq u b'  hekk il-patri Siberjan tant kiseb poter fil-gvern u fost in-nobbiltà Russa li għamel ħafna għedewwa fost il-prinċpijiet qawwijin bħal Feliks Jusupov, li ordna l-qtil tiegħu.",Biex kien jbati Aleksej Nikolaevič Romanov?,bl-emofilja
809,"Grigorij Efimovič Rasputin (Novyj) kien patri Russu. Grigorij Rasputin twieled f' belt żgħira fis-Siberja fejn kien jgħix ta' gabillot sakem iddeċieda li jidħol patri. Kiseb fama tant kbira għall-qawwa li jfejjaq il-morda li ġie mistieden bosta drabi fil-qorti taz-Kżar Nikola II, l-aħħar Kżar tar-Russja. F' waħda minn dawn l-okkażżjonijiet ġie ppreżentat lil  Kżarina Aleksandra Fëdorovna Romanova, li baqgħet sedotta għal kollox bil-qawwa li biha Rasputin irnexxielu jsalva l-ħajja tal-eredi għat-tron, binha, Aleksej Nikolaevič Romanov li kien ibati bl-emofilja. Minn dak il-mument 'l hemm il-Kżarina saret taħlef b' Rasputin għal qawwa li kellu biex ifejjaq u b'  hekk il-patri Siberjan tant kiseb poter fil-gvern u fost in-nobbiltà Russa li għamel ħafna għedewwa fost il-prinċpijiet qawwijin bħal Feliks Jusupov, li ordna l-qtil tiegħu.",Min ordna l-qtil ta' Rasputin?,Feliks Jusupov
